Code INSEE,Code Postal,Commune,Superficie,Code Département,Code Région
72139,72610,FYE,1633.0,72,52
53220,53480,SAINT-GEORGES-LE-FLECHARD,842.0,53,52
74250,74800,SAINT-PIERRE-EN-FAUCIGNY,1489.0,74,82
89482,89700,VIVIERS,922.0,89,26
33249,33310,LORMONT,779.0,33,72
72188,72600,MAROLLETTE,577.0,72,52
08341,08430,POIX-TERRON,1432.0,08,21
50100,50240,CARNET,1023.0,50,25
05052,05600,EYGLIERS,2987.0,05,93
89273,89520,MOUTIERS-EN-PUISAYE,3182.0,89,26
88142,88390,DOMEVRE-SUR-AVIERE,924.0,88,41
64285,64120,JUXUE,1534.0,64,72
60277,60000,GOINCOURT,649.0,60,22
09099,09000,COS,653.0,09,73
88073,88130,BRANTIGNY,297.0,88,41
